country,alcohol_type,alcohol_name,company,alcohol_degree,type,description,location,website,year,file
"Albania","Beer","Tirana","Birra Malto Brewery","4","Pilsner","NA","Tirana","http://www.birratirana.com/","1961","Tirana.jpg"
"Albania","Beer","Dark Ale","Birra Korça","5,2","Euro Dark Lager","NA"," Korçë","http://www.hysenbelliu.com/birrakorca/","1928","Korca.jpg"
"Albania","Beer","Puka","Puka","NA","Pilsner","Known for its purity made from crystal clear waters","Puka","NA","1900","Puka.jpg"
"Albania","Wine","Shesh i Bardhë","Çobo Winery","12,5","White","Traditional Albanian White Wine","Berati","http://www.cobowineryonline.com/","1900","Cobo.jpg"
"Albania","Cognac","Skenderbeu ","Skenderbeu ","40","NA","A taste of delicacy","Durres","NA","1967","Skenderbeu.jpg"
"Algeria","Beer","Schems Bavaroise","S.N.B.(SABMiller)","4,5","Pale Lager","NA","Oran","NA","NA","Bavaroise.jpg"
"Algeria","Beer","Algad Golden Pils","Algad","4,5","Pilsner","NA","Tessala El Merdja","NA","NA","NA"
"Algeria","Wine","Domaine Mamounia Coteaux de Mascara","Domaine El Bordj","12","Red","NA","El Bordj","NA","NA","Mamounia.jpg"
"Andorra","Wine","Escarxat Ermita a la Mora","Casa de la Ermita","NA","Fruit Wine","NA","Andorra","NA","NA","Ermita.jpeg"
"Angola","Beer","Mongozo Palmnut","Mongozo","7","Deep red-brown beer","Traditional homemade beer made from palm nuts","Lundas","http://www.mongozo.com/","Before the arrival of Europeans","mongozo.jpg"
"Angola","Beer","Nova Cuca","Companhia União de Cervejas de Angola","4,5","Pale Lager","NA","Luanda","NA","1961","Cuca.jpg"
"Antigua and Barbuda","Beer","Wadadli","Antigua Brewery","5","Pale Lager","NA","St Johns","http://www.antiguabrewery.com/","","Wadadli.jpg"
"Antigua and Barbuda","Rum"," English Harbour Rum","Antigua Distillery Ltd","40","NA","NA","St Johns","http://www.antiguadistillery.com/","1932","Englishharbour.jpg"
"Argentina","Beer","Murrays IPA","Murrays Cerveza Artesanal","7,5","Indian Pale Ale","NA","Buenos Aires","NA","NA","murrays.jpg"
"Argentina","Beer","Araucana Rojiza Fuerte","Araucana Cerveza Artesanal","9,2","Doppelbock","NA","El Bolson","NA","NA","araucana.jpg"
"Argentina","Beer","Antares Imperial Stout","Antares","8,5","Imperial Stout","NA","Mar del Plata","http://www.cervezaantares.com/index.php","NA","antares.jpg"
"Argentina","Fernet","Fernet 1882","Fernet 1882","45","NA","NA","Buenos Aires","http://fernet1882.com/fernet/","NA","1882.jpg"
"Armenia","Oghi","Artsakh"," Artsakh-Alco Brandy Company","45","Traditional Vodka","NA","Artsakh","http://www.artsakh-brandy.am/","1922","Artsakh.jpg"
"Armenia","Beer","Kotayk Gold","Kotayk Brewery","5,6","Pale Lager","NA","Abovian","http://www.kotayk.am/","1974","Kotayk.gif"
"Armenia","Beer","Kilikia Dymchatoe Temnoe","Yerevan Brewery","4,4","Smoked","NA","Yerevan","http://www.kilikia.am/","NA","Kilikia.jpg"
"Aruba","Beer","Balashi","Balashi National Brewery Inc.","5","Pale Lager","NA","Cruz","NA","1999","balashi.jpg"
"Aruba","Rum","Palmera","Palmera","40","NA","NA","Oranjestad","http://www.rumpalmera.com/","1499","Palmera.jpg"
"Australia","Beer","Murrays Wild Thing Imperial Stout","Murrays Craft Brewing Co.","10","Imperial Stout","NA","Bob's Farm","http://www.murraysbrewingco.com.au/","NA","Wildthing.jpg"
"Australia","Beer","Nøgne Ø Aurora Australis","Bridge Road Brewers","11","Quadrupel","NA","Beechworth","http://bridgeroadbrewers.com.au/","2004","aurora.jpg"
"Australia","Beer","Mornington Peninsula Russian Imperial Stout","Mornington Peninsula Brewery","9,5","Imperial Stout","NA","Mornington","http://mpbrew.com.au/","2008","mornington.jpg"
"Australia","Rum","Bundaberg","Bundaberg Distilling Company","40","Dark Rum","NA","Bundaberg","http://www.bundabergrum.com.au","1888","Bundaberg.jpg"
