country,alcohol_type,alcohol_name,company,alcohol_degree,type,description,location,website,year,file
"Andorra","Beer","Alpha Sant Cornelli ","Cerveses Alpha","6,4","Indian Pale Ale","NA","La Cortinada Ordino","http://www.cervezartesana.es/noticias/cerveza-alpha-de-andorra-119","NA","Alpha.jpg"
"Gabon","Beer","Régab","Sobraga","4,5","Pale Lager","NA","Libreville","http://www.sobraga.com/","NA","Regab.jpg"
"Gambia","Beer","Banjul Jul Brew Export","Banjul Breweries","5,5","Pale Lager","NA","Banjul","http://www.julbrew.gm/","NA","Jul.jpg"
"Germany","Beer","Ayinger Celebrator Doppelbock","Brauerei Aying","6,7","Doppelbock","NA","Aying","http://www.ayinger.de/?pid=262","NA","Celebrator.jpg"
"Germany","Beer","Schneider Aventinus","Weissbierbrauerei G. Schneider & Sohn","8,2","Weizen Bock","NA","Kelheim","http://www.schneider-weisse.de/","NA","Weisse.jpg"
"Germany","Beer","Aecht Schlenkerla Fastenbier","Brauerei Heller","5,5","Smoked","NA","Bamberg","http://www.schlenkerla.de/","NA","Aecht.jpg"
"Ghana","Beer","Guinness Foreign Extra Stout","Guinness Ghana","7,5","Foreign Stout","NA","Kumasi","NA","NA","Guinness.jpg"
"Ghana","Beer","Club Gold Export Lager","Accra Brewery","4,8","Pale Lager","NA","Accra","NA","NA","NA"
"Greece","Beer","Septem A.C.E.","Septem Microbrewery","8,2","Double IPA","NA","Avlona","NA","NA","ACE.jpg"
"Greece","Beer","Santorini Crazy Donkey","Donkey Santorini Brewing Company","5,5","Indian Pale Ale","NA","Santorini","http://www.santorinibrewingcompany.gr/","NA","Donkey.jpg"
"Greenland","Beer","Greenland Easter Bock","Greenland Brewhouse","7,5","Weizen Bock","NA","Narsaq","http://www.icecapbeer.com/","NA","Greenland.jpg"
"Grenada","Beer","West Indies Lazy Pelican Summer Ale","West Indies Beer Company","4,8","Amber Ale","NA","St. George's","http://www.westindiesbeercompany.com/","NA","Lazy.png"
"Guadeloupe","Beer","Gwada Ambree","Gwada (Les Brasseurs de Guadeloupe)","5","Amber Ale","NA","Petit-Bourg","NA","NA","Gwada.gif"
"Guam","Beer","Great Deep Oatmeal Stout","The Great Deep Brewing Company","NA","Sweet Stout","NA","Hagatna","http://www.greatdeepbrewing.com/","NA","NA"
"Guatemala","Beer","Gallo Dark Lager","Cerveceria Centro Americana","5,6","Dunkel","NA","Guatemala City","http://www.cerveceria.com.gt/","NA","Gallo.jpg"
"Guinea","Beer","Guiluxe","Sobragui","5,2","Pale Lager","NA","Conakry","NA","NA","Guiluxe.jpg"
"Guinea-Bissau","Beer","Pampa Cerveja","Cervejas da Guiné-Bissau (CICER)","5,1","Pale Lager","NA","Bissau","NA","NA","Pampa.JPG"
"Guyana","Beer","Banks Milk Stout","Banks DIH","7,5","Foreign Stout","NA","Georgetown","http://www.banksdih.com/","NA","Banks.jpg"
"Haiti","Beer","Prestige Lager","Brasserie Nationale d’Haiti – BRANA","5,6","Pale Lager","NA","Port-au-Prince","http://www.branahaiti.com/","NA","Prestige.jpg"
"Honduras","Beer","Cerveza Port Royal Export","Cerveceria Hondureña","4,8","Pale Lager","NA","San Pedro Sula","http://www.cerveceriahondurena.com/","NA","PortRoyal.jpg"
"Hong Kong","Beer","Young Master 1842 Island Imperial IPA","Young Master Hong Kong","8","Double IPA","NA","Ap Lei Chau","http://www.youngmasterales.com/","NA","Young.jpg"
"Hungary","Beer","Hopfanatic Angry Beast","Hopfanatic Brewery","12","Imperial Stout","NA","Kiskunhalas","http://www.hopfanatic.hu/","NA","Angry.jpg"
"Hungary","Beer","armando_otchoa’s Grabanc IPA","Brandecker Sörház","6","Indian Pale Ale","NA","Budapest","NA","NA","Armando.jpg"
"Iceland","Beer","Ölvisholt Lava","Ölvisholt Brugghús","9,4","Smoked","NA","Selfoss","http://www.brugghus.is/","NA","Lava.jpg"
"Iceland","Beer","Borg Garún Icelandic Stout Nr. 19","Ölgerðin Egill Skallagrímsson","11,5","Imperial Stout","NA","Reykjavík","http://www.olgerdin.is/","NA","Garun.jpg"
"India","Beer","Windmills Craftworks IPA India Pale Ale","Windmills Craftworks","6","Indian Pale Ale","NA","Bangalore","http://www.windmillscraftworks.com/","NA","Wind.jpg"
"India","Beer","Gateway India Pale Ale","Gateway Brewing India","5","Indian Pale Ale","NA","Dombivli","http://www.gatewaybrewery.com/","NA","NA"
"India","Beer","Arbor India Raging Elephant IPA","Arbor Brewing Company India","6,8","Indian Pale Ale","NA","Bangalore","http://www.arborbrewing.com/","NA","Raging.jpg"
"Indonesia","Beer","Storm Beer Black Moon Iron Stout","Storm Brewing Bali","5,2","Stout","NA","Denpasar","NA","NA","Storm.jpg"
"Indonesia","Beer","Gold Lion Extra Stout","PT Delta","8","Foreign Stout","NA","Jakarta","http://www.deltajkt.co.id/web/index.php","NA","NA"
"Iran","Beer","Iran Shams Lemon Mint","Iran Bartar Industrial and Agricultural Company","0,5","Pale Lager","NA","Tehran","NA","NA","NA"
"Iraq","Beer","Farida Lager Beer","Eastern Brewery Co.","5","Premium Lager","NA","Baghdad","NA","NA","Farida.jpg"
"Ireland","Beer","Galway Bay Of Foam and Fury","Galway Bay Brewery","8,5","Double IPA","NA","Galway","http://www.galwaybaybrewery.com/","NA","Galway.jpeg"
"Ireland","Beer","Porterhouse Celebration Stout Barrel Aged","Porterhouse","11","Imperial Stout","NA","Dublin","http://www.porterhousebrewco.com/","NA","Celebration.jpg"
"Ireland","Beer","Pinta / O’Hara’s Lublin to Dublin","Carlow","6,5","Stout","NA","Bagenalstown","http://www.carlowbrewing.com/","NA","Lublin.jpg"
"Israel","Beer","Dancing Camel Doc’s Green Leaf Party","Dancing Camel","6,8","Indian Pale Ale","NA","Tel Aviv","http://www.dancingcamel.com/","NA","Dancing.jpg"
"Israel","Beer","Negev Porter Alon","Negev Brewery","5","Porter","NA","Kiryat Gat","http://www.negevbrewery.co.il/","NA","Negev.jpg"
"Israel","Beer","Ronen HaHodit HaMekhoeret India Pale Ale","Srigim Brewery","6,5","Indian Pale Ale","NA","Srigim","http://www.srigim-beer.co.il/","NA","Srigim.jpg"
"Italy","Beer","Baladin Xyauyù Barrel","Le Baladin","14","Barley Wine","NA","Piozzo","http://www.birreria.com/","NA","Baladin.png"
"Italy","Beer","Revelation Cat Black Knight","Revelation Cat Craft Brewing","14","Imperial Stout","NA","Rome","NA","NA","Revelation.jpg"
"Jamaica","Beer","Jamaica Stout","Razz Breweries Jamaica Ltd","7,6","Foreign Stout","NA","Kingston","NA","NA","Jamaica.jpg"
"Jamaica","Beer","Lion Heart Stout","Big City Brewing Company","7,6","Foreign Stout","NA","Kingston","NA","NA","Lion.jpg"
"Jamaica","Beer","Dragon Stout","Desnoes and Geddes","7,5","Foreign Stout","NA","Kingston","NA","NA","Dragon.jpg"
"Japan","Beer","Hitachino Nest Espresso Stout","Kiuchi Brewery","7,5","Stout","NA","Ibaraki","http://kodawari.cc/","NA","Espresso.jpg"
