country,legal_info,drinking_age,extra_info,national_alcohol
"Afghanistan","There is no local alcohol in the country because the consumption of alcohol is banned. Only some bars (mainly bars from hotels) have the license to sell alcohol to foreigners.","18","Forbidden, except for tourists","NONE"
"Albania","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is RAKI, a fruit brandy, mainly produced locally.","18","","RAKI"
"Algeria","Alcohol can be bought and consumed legally in the country at the age of 18. Algeria beeing mainly a muslim country, alcohol cannot be found everywhere. However, wines and beers are produced locally.","18","","NONE"
"American Samoa","Alcohol can be bought and consumed legally in the country at the age of 21. There is no national alcohol.","21","","NONE"
"Andorra","Alcohol can be bought and consumed legally in the country at the age of 18. There is no national alcohol.","18","","NONE"
"Angola","Alcohol can be bought and consumed legally in the country at the age of 18. Many alcohols, such as capatica (made from bananas, a Cuanza Norte specialty), caporoto (made from maize, a Malanje specialty) or ocisangua (made with palm tree juice, sometimes described as «  palm wine  », a Northern Angola specialty), are produced locally.","18","","CAPATICA;CAPOROTO;OCISANGUA"
"Anguilla","Alcohol can be bought and consumed legally in the country at the age of 16. There is no national alcohol.","16","","NONE"
"Antarctica","Because of the speical nature of this country, there is no minimum drinking age nor national alcohol.","NO LEGISLATION","","NONE"
"Antigua and Barbuda","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is RUM.","18","","RUM"
"Argentina","Alcohol can be bought and consumed legally in the country at the age of 18. The two national alcohols are FERNET and WINE.","18","","FERNET;WINE"
"Armenia","Alcohol can be bought at the age of 18 and consumed at any age. The two national alcohols are OGHI, a spirit distilled from fruits and berries, and WINE.","18","","OGHI;WINE"
"Aruba","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is RUM.","18","","RUM"
"Australia","Alcohol can be bought and consumed legally in the country at the age of 18. The two national alcohols are BEER and RUM.","18","","BEER;RUM"
"Austria ","Alcohol can be bought and consumed legally in the country at the age of 18. Three of the nine Federal States allow the buying and the consumption of distilled spirits and drinks mixed with spirits for children over 16. The national alcohol is SCHNAPPS.","18","","SCHNAPPS"
"Azerbaijan","Alcohol can be bought and consumed legally in the country at the age of 18. There is no national alcohol.","18","","NONE"
"Bahamas","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is RUM.","18","","RUM"
"Bahrain","There is no local alcohol in the country because the consumption of alcohol is banned. Only some bars (mainly bars from hotels) have the license to sell alcohol to foreigners.","18","Forbidden, except for tourists","NONE"
"Bangladesh","The consumption of alcohol is banned. However, a national brewery produces beers for tourists. Only some bars (mainly bars from hotels) have the license to sell alcohol to foreigners.","18","Forbidden, except for tourists","NONE"
"Barbados","Alcohol can be bought and consumed legally in the country at the age of 16. The national alcohol is RUM.","16","","RUM"
"Belarus","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is KRAMBAMBULA, a cocktail which can contain various kinds of liquor.","18","","KRAMBAMBULA"
"Belgium","Beers and wine can be bought and consumed legally in the country at the age of 16. Other alcohols can be bought and consumed legally at the age of 18. The two national alcohols are BEER and JENEVER, a juniper-flavored liquor.","Beers & Wine:16, Other alcohols:18","","BEER;JENEVER"
"Belize","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is RUM.","18","","RUM"
"Benin","There is no regulation regarding the minimum drinking age. There is no national alcohol.","NO LEGISLATION","","NONE"
"Bermuda","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is BLACK SEAL RUM.","18","","BLACK SEAL RUM"
"Bhutan","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is ARRA, a spirit distilled from rice, maize, wheat or barley.","18","","ARRA"
"Bolivia","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is  SINGANI, a pomace brandy.","18","","SINGANI"
"Bosnia and Herzegovina","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is RAKIJA, a fruit brandy.","18","","RAKIJA"
"Botswana","Alcohol can be bought and consumed legally in the country at the age of 18. The two national alcohols are PALM WINE and KGADI, made from distilled sugar of fungus.","18","","KGADI;PALM WINE"
"Brazil","Alcohol can be bought and consumed legally in the countr, at the age of 18. The national alcohol is CACHAÇA, a distilled spirit made from sugarcane juice.","18","","CACHAÇA"
"Brunei Darussalam","The consumption of alcohol is banned. However, a national brewery produces beers for tourists. Only some bars (mainly bars from hotels) have the license to sell alcohol to foreigners.","18","Forbidden, except for tourists","NONE"
"Bulgaria","Alcohol can be bought and consumed legally in the country at the age of 18. The three national alcohols are RAKIA, a fruit brandy, WINE and BEER.","18","","RAKIA;WINE;BEER"
"Burkina Faso","There is no regulation regarding the minimum drinking age. There is no national alcohol.","NO LEGISLATION","","NONE"
"Burundi","Alcohol can be bought and consumed legally in the country at the age of 16, unless accompanied by parents. The national alcohol is URWARWA, a banana wine.","16","","URWARNA"
"Cambodia","There is no regulation regarding the minimum drinking age. There is no national alcohol.","NO LEGISLATION","","NONE"
"Cameroon","Alcohol can be bought and consumed legally in the country at the age of 21. The three national alcohols are BIL-BIL, a beer made from millet, sorghum or corn, PALM WINE and AFOFO, a firewater distilled from palm sap.","21","","BIL-BIL;PALM WINE;AFOFO"
