country,alcohol_type,alcohol_name,company,alcohol_degree,type,description,location,website,year,file
"Mexico","Beer","Corona","Cervecería Modelo","4,6","Pale Lager","NA","Mexico City","http://www.corona.com/","1925","Corona.jpg"
"France","Beer","Desperados","Fischer Brewery","5,9","Pale Lager","Tequila Flavored","Schiltigheim","http://www.desperados.com/","1995","Desperados.jpg"
"Belgium","Beer","Jupiler","Anheuser–Busch InBev","5,2","Pale Lager","NA","Jupille-sur-Meuse","http://jupiler.be/fr","1966","Jupiler.jpg"
"Belgium","Beer","Maes Pils","Alken-Maes","5,2","Pilsner","NA"," Kontich-Waarloos","http://maes.be/age-check/","1930","Maes.jpg"
"Denmark","Beer","Carlsberg","Carlsberg Group","5","Pilsner","NA","Copenhagen","http://www.carlsberg.com/flash.html","1847","Carlsberg.jpg"
"Netherlands","Beer","Heineken","Heineken International","5","Pale Lager","NA","Amsterdam","http://www.theheinekencompany.com/","1873","Heineken.jpg"
"Denmark","Cider","Somersby Apple Cider","Carlsberg Group","4,5","NA","NA","Copenhagen","http://www.somersbycider.com/gl/en/","2008","Somersby.jpg"
"France","Champagne","Moët & Chandon Impérial Brut","LVMH","12","Brut","NA","Epernay","http://www.moet.com/prehome","1743","Moet.jpeg"
"France","Champagne","Dom Pérignon Brut","Moët & Chandon","12","Brut","NA","Epernay","http://www.domperignon.com/","1921","DomPerignon.jpg"
"France","Champagne","Veuve Clicquot Ponsardin Rosé","Veuve Clicquot Ponsardin","12","Brut Rosé","NA","Reims","http://www.veuve-clicquot.com/","1772","VCProse.jpg"
"France","Champagne","Cristal Roederer Brut","Louis Roederer","12","Brut","NA","Reims","http://www.louis-roederer.com/en/prehome","1876","Cristal.jpg"
"Russia","Vodka","Smirnoff Vodka","Diageo Plc.","37,5","NA","NA","Moscow","http://www.smirnoff.com/en-us/","1864","Smirnoff.jpg"
"France","Vodka","Ciroc Vodka","Diageo Plc.","40","NA","NA","Chevanceaux","https://www.ciroc.com/","1993","Ciroc.jpg"
"France","Vodka","Grey Goose","Bacardi","40","NA","NA","Origny-Sainte-Benoite","http://www.greygoose.com/en/us","1996","GreyGoose.jpeg"
"Poland","Vodka","Belvedere Intense","Polmos Zyrardów","50","NA","NA","Zyrardów","http://www.belvederevodka.com/","1993","Belvedere.jpg"
"Italy","Vermouth","Martini Bianco","Martini & Rossi Corporation","15","NA","NA","Turin","http://www.martini.com/gl/en/lda.html","1910","Martini.jpg"
"Cuba","Rum","Bacardi Superior","Bacardi Limited","40","NA","NA","Santiago de Cuba","http://www.bacardi.com/us/home","1862","Bacardi.jpg"
"Georgia","Vodka","Eristoff Red","Bacardi","21","NA","Sloe berry flavour","Racha","http://www.eristoff.com/gl/lda","1806","Eristoff.jpg"
"United Kingdom","Whisky","J&B Rare","Diageo Plc.","40","Scotch Whisky","NA","Banffshire, Scotland","http://www.jbscotch.com/","1749","JB.jpg"
"United Kingdom","Whisky","Johnnie Walker Blue Label","Diageo Plc.","40","Scotch Whisky","NA","Kilmarnock, Ayrshire, Scotland","http://www.johnniewalker.com/fr-fr/home","1865","JWBlue.jpg"
"Venezuela","Rum","Pampero Ron Añejo Especial","Diageo Plc.","40","NA","NA","Valencia, Carabobo","http://www.diageo.com/es-es/ourbrands/categories/spirits/Pages/Rum.aspx","1938","Pampero.jpg"
"United Kingdom","Gin","Gordon's Gin","Diageo Plc.","37,5","NA","NA","Cameron Bridge, Scotland","http://www.gordons-gin.co.uk/","1769","Gordon.jpg"
"United Kingdom","Gin","Bombay Sapphire","Bombay Spirits Co., Ltd.","40","NA","NA","Laverstoke, Hampshire","http://www.bombaysapphire.com/","1987","Bombay.jpg"
"Mexico","Tequila","Jose Cuervo Especial Gold","Tequila Cuervo La Rojeña","40","NA","NA","La Rojeña distillery, Jalisco","http://www.cuervo.com/","1795","JoseCuervo.jpg"
"France","Triple Sec","Cointreau","Rémy Cointreau","40","NA","NA","Angers","http://www.cointreaufizz.cointreau.com/fr/","1875","Cointreau.jpg"
"Italy","Liquor","Amaretto Disaronno","Disaronno","28","NA","NA","Saronno","http://www.disaronno.com/fr/","1525","Disaronno.jpg"
"Ireland","Liquor","Baileys Irish Cream Original","Gilbeys of Ireland","17","NA","NA","Dublin","http://www.baileys.com/en-row/home.html","1974","Baileys.jpg"
"Netherlands","Liquor","Pisang Ambon The Original","Lucas Bols B.V.","21","NA","It is based on the recipe of an old Indonesian liqueur.","Amsterdam","http://www.pisangambon.com/","1948","Pisang.png"
"France","Liquor","Get 27","Casanis Corporation","21","NA","NA","Beaucaire","https://www.get27.fr/","1995","Get27.jpg"
"United Kingdom","Whisky","Chivas Regal","Chivas Brothers","40","Scotch Whisky","NA","Keith, Moray","http://www.chivas.com/","1801","Chivas.jpg"
"Mexico","Liquor","Kahlúa","Pernod Ricard","20","NA","NA","Veracruz","http://www.kahlua.com/","1936","Kahlua.png"
"France","Liquor","Grand Marnier Cordon Rouge","Marnier Lapostolle","40","NA","NA","Paris","http://en.grand-marnier.com/","1880","GrandMarnier.jpg"
"United States","Whisky","Jack Daniel's","Brown-Forman Corporation","40","Tennessee Whiskey","NA","Lynchburg","http://jackdaniels.com/","1875","JackDaniels.jpg"
"Greece","Brandy","Metaxa 5 stars","Spyros Metaxas","38","NA","NA","Kifissia, Athens","http://www.metaxa.com/","1888","Metaxa.jpg"
"Germany","Vodka","Bavarka Vodka","Lantenhammer","43","NA","NA","Lantenhammer Distillery, Schliersee, Bavaria","http://www.lantenhammer.de/destillate/bavarka/bavarka-vodka/","1928","Bavarka.jpg"
