country,number_inhabitants,surface_sq_km,flag,currency,motto,capital
"Afghanistan","26556800","652230","Afghanistan.png","AFN","No official motto","Kabul"
"Albania","2895947","28748","Albania.png","ALL","Ti Shqiperi Me Jep Nder, Me jep Emrin Shqipetar (Albanian, « You, Albania, give me honor, give me the name Albanian »)","Tirana"
"Algeria","39500000","2381741","Algeria.png","DZD","بالشعب و للشعب (Bil-shaʿb wa lil-shaʿb) (« Arabic, By the people and for the people »)","Algiers"
"American Samoa","55519","199","American_Samoa.png","USD","Samoa Muamua le Atua (Samoan, « Samoa, God is First »)","Pago Pago"
"Andorra","76949","468","Andorra.png","EUR","Virtus unita fortior (Latin, « Virtus is stronger when united »)","Andorra la Vella"
"Angola","24383301","1246700","Angola.png","AOA","Virtus unita fortior (Latin, « Virtus is stronger when united »)","Luanda"
"Anguilla","13452","91","Anguilla.png","XCD","« Strength and Endurance »","The Valley"
"Antarctica","0","14000000","NA","None","« Research and Discovery »","None"
"Antigua and Barbuda","86295","442","Antigua.png","XCD","« Each endeavouring, all achieving »","St. John's"
"Argentina","43131966","2780400","Argentina.png","ARS","En unión y libertad (Spanish, « In Union and Liberty »)","Buenos Aires"
"Armenia","3013900","29843","Armenia.png","AMD","Մեկ Ազգ, Մեկ Մշակույթ (Mek Azg, Mek Mshakouyt) (Armenian, « One Nation, One Culture »)","Yerevan"
"Aruba","101484","180","Aruba.png","AWG","Semper pro grediens (Latin, « Always progressing »)","Oranjestad"
"Australia","23716600","7692024","Australia.png","AUD","« Advance Australia »","Canberra"
"Austria ","8572895","83871","Austria.png","EUR","Austriae est imperare orbi universo (Latin, « It is Austria's destiny to rule the world »)","Vienna"
"Azerbaijan","9552500","86600","Azerbaijan.png","AZN","Odlar Yurdu (« The Land of Fire »)","Baku"
"Bahamas","368390","13943","Bahamas.png","BSD","« Forward, Upward, Onward Together »","Nassau"
"Bahrain","1316500","765","Bahrain.png","BHD","No official motto","Manama"
"Bangladesh","157688000","147570","Bangla.png","BDT","No official motto","Dhaka"
"Barbados","285000","430","Barbados.png","BBD","« Pride and Industry »","Bridgetown"
"Belarus","9475100","207600","Belarus.png","BYR","No official motto","Minsk"
"Belgium","11233192","30528","Belgium.png","EUR","Eendracht maakt macht, L'union fait la force and Einigkeit gibt Stärke (Dutch, French and German, « Unity gives Strength »)","Brussels"
"Belize","349728","22966","Belize.png","BZD","Sub umbra floreo (Latin, « Under the shade I flourish »)","Belmopan"
"Benin","10315244","112622","Benin.png","XOF","Fraternité, Justice, Travail (French, « Fellowship, Justice, Labour »)","Cotonou"
"Bermuda","64237","54","Bermuda.png","BMD","Quo fata ferunt (Latin: « Whither the fates carry us »)","Hamilton"
"Bhutan","756320","38394","Bhutan.png","BTN","No official motto","Thimphu"
"Bolivia","11410651","1098581","Bolivia.png","BOB","La Unión es la Fuerza (Spanish, « Unity is Strength »)",""Sucre (constitutional);La Paz (administrative)""
"Bosnia and Herzegovina","3791622","51209","Bosnia.png","BAM","No official motto","Sarajevo"
"Botswana","2024904","582000","Botswana.png","BWP","Pula (Tswana, « Rain »)","Gaborone"
"Brazil","203759000","8515767","Brazil.png","BRL","Ordem e progresso (Portuguese, « Order and progress »)","Brasília"
"Brunei Darussalam","393372","5765","Brunei.png","BND","الدائمون المحسنون بالهدى (Arabic, « Always in service with God's guidance »)","Bandar Seri Begawan"
"Bulgaria","7245677","110879","Bulgaria.png","BGN","Съединението прави силата (Bulgarian, « Unity Makes Strength »)","Sofia"
"Burkina Faso","17322796","272967","Burkina.png","XOF","Unité, Progrès, Justice (French, « Unity, Progress, Justice »)","Ouagadougou"
"Burundi","9823827","27834","Burundi.png","BIF","Unité, Travail, Progrès (French, « Unity, Work, Progress »)","Bujumbura"
"Cambodia","15405157","181035","Cambodia.png","KHR","ជាតិសាសនាព្រះមហាក្សត្រ (Chéat – Sasna – Preăhmôhaksât) (Khmer, « Nation – Religion – King »)","Phnom Penh"
"Cameroon","21143237","475442","Cameroon.png","XAF","Paix - Travail - Patrie (French, « Peace, Work, Fatherland »)","Yaoundé"
"Canada","35675834","9984670","Canada.png","CAD","A mari usque ad mare (Latin, « From sea to sea »)","Ottawa"
"Cape Verde","518467","4033","CapeVerde.png","CVE","Unidade, Luta, Progresso (Spanish, « Unity, Work, Progress »)","Praia"
