country,alcohol_type,alcohol_name,company,alcohol_degree,type,description,location,website,year,file
"South Africa","Beer","CBC Amber Weiss","Cape Brewing Company","5,4","German Hefeweizen","NA","Paarl","http://capebrewing.co.za/","NA","AmberWeiss.jpg"
"Belgium","Beer","Duvel","Duvel Moortgat","8,5","Belgian Strong Ale","NA","Breendonk-Puurs ","http://www.duvel.com/","NA","Duvel.jpg"
"Belgium","Beer","La Chouffe","Brasserie d’Achouffe (Moortgat)","8","Belgian Strong Ale","NA","Achouffe","http://www.achouffe.be/","NA","Chouffe.jpg"
"Belgium","Beer","Westmalle Tripel","Brouwerij der Trappisten van Westmalle","9,5","Abbey Tripel","NA","Malle","http://www.trappistwestmalle.be/","NA","Westmalle.jpg"
"Belgium","Beer","Leffe Blonde","InBev Belgium","6,6","Belgian Ale","NA","Leuven","http://www.leffe.com/fr","NA","Leffe.jpeg"
"Belgium","Beer","Leffe Brune","InBev Belgium","6,5","Abbey Dubbel","NA","Leuven","http://www.leffe.com/fr","NA","LeffeBrune.jpg"
"Belgium","Beer","Chimay Bleue","Chimay","9","Belgian Strong Ale","NA","Baileux","http://www.chimay.com/en/en.html?IDC=27","NA","ChimayBleue.jpg"
"Belgium","Beer","Tripel Karmeliet","Brouwerij Bosteels","8,4","Abbey Tripel","NA","Buggenhout","http://brouwerijbosteels.be/nl/ms/ms/brouwerijen-buggenhout-9255/ms-21881-p-2/","NA","Karmeliet.JPG"
"South Africa","Whisky","Bain's Cape Mountain","Bain's","40","NA","NA","Wellington","http://www.bains.co.za/","1886","Bains.jpg"
"Austria","Rum","Stroh 60°","Stroh Austria GmbH","60","NA","Spiced Rum","Klagenfurt","http://www.stroh.at/","1832","Stroh.jpg"
"South Africa","Rum","Mainstay - Cane Spirit","Distell","43","NA","NA","Durban","http://www.mainstay.co.za/age","1954","Mainstay.jpg"
"Ireland","Whisky","Jameson Irish Whiskey","Irish Distillers","40","NA","NA","Cork","http://www.jamesonwhiskey.com/","1780","Jameson.jpg"
"United Kingdom","Whisky","Ballantine's Finest Blended","Pernod Ricard","40","NA","NA","Dumbarton","http://www.ballantines.com/","1827","Ballantine's.jpg"
"United Kingdom","Whisky","The Glenlivet 12 Year Old","Pernod Ricard","40","NA","NA","Moray","http://www.theglenlivet.com/agegateway?url=%2f","1824","Glenlivet.png"
"Canada","Whisky","Canadian Club Premium","Beam Suntory","40","NA","NA","Toronto","http://canadianclub.com","1854","CanadianClub.jpg"
"Italy","Liquor","Campari (Amaro)","Campari","24","NA","NA","Milan","http://www.campari.com/","1860","Campari.jpg"
"Italy","Aperitif","Aperol"," Barbieri company","11","NA","NA","Padoue","http://www.aperol.it/","1919","Aperol.jpg"
"Jamaica","Rum","Captain Morgan Black Spiced Rum","Diageo","50","NA","NA","Kingston","http://www.captainmorgan.com/","1944","CaptainMorgan.jpg"
"Austria","Liquor","Mozart Black","Mozart Distillerie GmbH","17","NA","NA","Salzburg","http://www.mozart-spirits.com/","1954","Mozart.jpg"
"United Kingdom","Liquor","Drambuie","William Grant & Sons","40","NA","NA","Glasgow","http://www.drambuie.com/uk/age?return=%2Fuk&","1746","Drambuie.jpg"
"France","Cognac","Bisquit V.S Classique","Bisquit Dubouché et Cie.","40","NA","NA","Cognac","http://bisquit.com/","1819","Bisquit.jpg"
"Ireland","Liquor","Sheridan's","Thomas Sheridan & Sons","16","NA","NA","Dublin","NA","1994","Sheridan's.jpg"
"South Africa","Liquor","KWV Van Der Hum Liqueur","KWV","25","NA","The original Cape Liqueur","Paarl","NA","NA","Vanderhum.jpg"
"Italy","Liquor","Tia Maria","ILLVA SARONNO S.p.A.","26,5","NA","NA","Varese","http://www.tiamaria.com/","NA","TiaMaria.jpg"
"Brazil","Cachaça","Pitú Aguardente de cana","Pitú","40","NA","NA","Vitória de Santo Antão","http://www.pitu.com.br/","1938","Pitu.jpg"
"South Africa","Liquor","Oude Meester Ginger","Oude Meester","30","NA","NA","Stellenbosh","http://www.distell.co.za/RunTime/POPContentRun.aspx?pageidref=3284","1965","OudeMeester.jpg"
"Italy","Liquor","Frangelico","TJ CAROLANS & SON LIMITED","20","NA","NA","Canale","http://www.frangelico.com/","1983","Frangelico.jpg"
"Spain","Brandy","Brandy de Jerez, Solera Gran Reserva","Carlos I","38","NA","NA","El Puerto de Santa Maria","NA","1889","Carlos.jpg"
"France","Cognac","Cognac Camus VS","Maison Camus","40","NA","NA","Cognac","http://www.camus.fr/fr/","1863","Camus.jpg"
"France","Brandy","Janneau Grand Armagnac VSOP","Maison Janneau","40","NA","NA","Condom","http://www.armagnac-janneau.com/","1851","Janneau.jpg"
"Germany","Liquor","Jagermeister","Mast-Jägermeister SE","35","NA","NA","Wolfenbüttel, Lower Saxony","http://www.jager.com/en-us/home/","1935","Jager.jpg"
"France","Calvados","Boulard Extra Calvados","Calvados Boulard","40","NA","NA","Coquainvilliers","http://www.calvados-boulard.com/","1825","Boulard.jpg"
"Italy","Grappa","Nonino Grappa","Nonino","40","NA","NA","Udine","http://www.grappanonino.it/it/","1897","Nonino.jpg"
"Cuba","Rum","Havana Club Añejo 15 Años","Corporación Cuba Ron","40","NA","NA","Santa Cruz del Norte","http://havana-club.com/","1934","Havana15.jpg"
"United States","Liquor","Southern Comfort","Brown-Forman Corporation","35","NA","NA","New Orleans","http://www.southerncomfort.com/","1874","Southern.jpg"
"United Kingdom","Gin","Tanqueray 10","Diageo","47,3","NA","NA","Bloomsbury","http://www.tanqueray.com/","1830","Tanqueray10.jpg"
